Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   27228    87748     1668    85449        0    74607     1743       82        0       58        0        0       61229    113636   559665   212888       13        0        0        0        0        0 
   26880    87892     1668    85598        0    74646     1823     1172        4      984        0        0       61229    113929   559592   212867       73        0        0        0        0        0 
   26923    87888     1668    85592        0    74646     1855       28        0       28        0        0       61229    113919   559592   212867        0        0        0        0        0        0 
   27114    87891     1668    85590        0    74416     1851      927        4      838        0        0       61229    113920   559581   212858       11        0        0        0        0        0 
   26841    87894     1668    85591        0    74650     1851      638        0      605        0        0       61229    113924   559574   212852        6        0        0        0        0        0 
   26687    88062     1669    85730        0    74589     1851      555        0      224        0        0       61235    114226   559358   212780      216        0        5        0        0        0 
   26729    88080     1690    85728        0    74426     1851      203        0      292        0        0       61261    114237   559352   212776        6        0        9        0        0        0 
   26736    87991     1690    85687        0    74598     1787      479        0      504        0        0       61261    114107   559343   212773        9        0        0        0        0        0 
   26749    88018     1690    85610        0    74770     1849     1077        4      992        0        0       61261    114057   559335   212772        8        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   26454    88019     1690    85614        0    75021     1849 69264737   825173 55482087  4515844   493415       61261    114062   559333   212771  4612377 13037437  1272552    18420      244    23116 
   26883    87912     1690    85616        0    74703     1747     1035        0      965        0        0       61261    113957   559309   212756       20        0        0        0        0        0 
   26739    88011     1690    85597        0    74698     1747      935        4      852        0        0       61261    114037   559302   212752        7        0        0        0        0        0 
   26678    88152     1722    85657        0    74599     1829      703        0      656        0        0       61293    114238   559278   212738       24        0        0        0        0        0 
   26174    88455     1722    85826        0    74656     1853     1093        0      657        0        0       61293    114710   559019   212663      259        0        0        0        0        0 
   26583    88203     1722    85770        0    74611     1713      325        0      289        0        1       61293    114402   559017   212663        2        0        0        0        0        0 
   26363    88380     1724    85787        0    74611     1713     1068        0      817        0        0       61295    114596   558854   212588      163        0        0        0        0        0 
   26463    88373     1726    85775        0    74650     1713      203        0      214        0        0       61298    114576   558843   212586       11        0        2        0        0        0 
   26190    88408     1726    85806        0    74875     1709      925        4      801        0        0       61298    114642   558809   212571       34        0        0        0        0        0 
   26213    88440     1726    85837        0    74852     1775      949        4      870        0        0       61298    114705   558807   212570        2        0        0        0        0        0 
   26071    88300     1726    85829        0    75059     1695      908        4      820        0        0       61298    114557   558797   212566       10        0        0        0        0        0 
   26180    88277     1726    85680        0    75082     1689      595        0      542        0        0       61298    114385   558785   212562       12        0        0        0        0        0 
   26217    88632     1726    85715        0    74694     1887       40        0       28        0        0       61298    114775   558780   212562        5        0        0        0        0        0 
   26193    88541     1729    85834        0    74694     1887       84        0       21        0        0       61302    114802   558748   212554       32        0        4        0        0        0 
   26233    88487     1729    85896        0    74694     1887       57        0       24        0        0       61302    114810   558731   212551       16        0        0        0        0        0 
   26208    88484     1729    85898        0    74694     1887       38        0       25        0        0       61302    114809   558724   212550        7        0        0        0        0        0 
   26211    88469     1729    85895        0    74694     1887       38        0       27        0        0       61302    114791   558717   212546        7        0        0        0        0        0 
   26064    88522     1739    85971        0    74694     1887      369        0       30       17        0       61300    114932   558549   212501      168        0        0        0        0        0 
   26092    88517     1739    85971        0    74694     1887       22        0       18        0        0       61300    114927   558548   212501        1        0        0        0        0        0 
   25793    88907     1728    86219        0    74455     1887     1128        0      588        0        0       61302    115552   558482   212475       64        0        1        0        0        0 
   25711    88882     1728    86254        0    74455     1887       52        0       47        6        0       61302    115562   558480   212475        2        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
